season,round,date,home_team,home_goals,away_goals,away_team,result,home_current_season_matches,away_current_season_matches,home_current_season_win_rate,away_current_season_win_rate,home_current_season_draw_rate,away_current_season_draw_rate,home_current_season_goal_difference,away_current_season_goal_difference,home_current_season_avg_goals_for,away_current_season_avg_goals_for,home_current_season_avg_goals_against,away_current_season_avg_goals_against,current_season_win_rate_edge,current_season_draw_rate_edge,current_season_goal_difference_edge,current_season_attack_edge,current_season_defense_edge
2025-26,League phase,2025-10-01,Union SG,0,4,Newcastle,A,1.0,1.0,1.0,0.0,0.0,0.0,2.0,-1.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0
2025-26,League phase,2025-10-01,Villarreal,2,2,Juventus,D,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,4.0,1.0,4.0,0.0,-1.0,-1.0,-4.0,3.0
2025-26,League phase,2025-10-21,Arsenal,4,0,Atlético Madrid,H,2.0,2.0,1.0,0.5,0.0,0.0,4.0,3.0,2.0,3.5,0.0,2.0,0.5,0.0,1.0,-1.5,2.0
2025-26,League phase,2025-10-21,Barcelona,6,1,Olympiacos,H,2.0,2.0,0.5,0.0,0.0,0.5,0.0,-2.0,1.5,0.0,1.5,1.0,0.5,-0.5,2.0,1.5,-0.5
2025-26,League phase,2025-10-21,FC Copenhagen,2,4,Dortmund,A,2.0,2.0,0.0,0.5,0.5,0.5,-2.0,3.0,1.0,4.0,2.0,2.5,-0.5,0.0,-5.0,-3.0,0.5
2025-26,League phase,2025-10-21,FC Kairat,0,0,Pafos FC,D,2.0,2.0,0.0,0.0,0.0,0.5,-8.0,-4.0,0.5,0.5,4.5,2.5,0.0,-0.5,-4.0,0.0,-2.0
2025-26,League phase,2025-10-21,Leverkusen,2,7,Paris SG,A,2.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,1.5,3.0,1.5,0.5,-1.0,1.0,-5.0,-1.5,-1.0
2025-26,League phase,2025-10-21,Newcastle,3,0,Benfica,H,2.0,2.0,0.5,0.0,0.0,0.0,3.0,-2.0,2.5,1.0,1.0,2.0,0.5,0.0,5.0,1.5,1.0
2025-26,League phase,2025-10-21,PSV,6,2,Napoli,H,2.0,2.0,0.0,0.5,0.5,0.0,-2.0,-1.0,1.0,1.0,2.0,1.5,-0.5,0.5,-1.0,0.0,-0.5
2025-26,League phase,2025-10-21,Union SG,0,4,Inter,A,2.0,2.0,0.5,1.0,0.0,0.0,-2.0,5.0,1.5,2.5,2.5,0.0,-0.5,0.0,-7.0,-1.0,-2.5
2025-26,League phase,2025-10-21,Villarreal,0,2,Manchester City,A,2.0,2.0,0.0,0.5,0.5,0.5,-1.0,2.0,1.0,2.0,1.5,1.0,-0.5,0.0,-3.0,-1.0,-0.5
2025-26,League phase,2025-10-22,Atalanta,0,0,Slavia Prague,D,2.0,2.0,0.5,0.0,0.0,0.5,-3.0,-3.0,1.0,1.0,2.5,2.5,0.5,-0.5,0.0,0.0,0.0
2025-26,League phase,2025-10-22,Athletic Club,3,1,Qarabağ,H,2.0,2.0,0.0,1.0,0.0,0.0,-5.0,3.0,0.5,2.5,3.0,1.0,-1.0,0.0,-8.0,-2.0,-2.0
2025-26,League phase,2025-10-22,Bayern Munich,4,0,Club Brugge,H,2.0,2.0,1.0,0.5,0.0,0.0,6.0,2.0,4.0,2.5,1.0,1.5,0.5,0.0,4.0,1.5,0.5
2025-26,League phase,2025-10-22,Chelsea,5,1,Ajax,H,2.0,2.0,0.5,0.0,0.0,0.0,-1.0,-6.0,1.0,0.0,1.5,3.0,0.5,0.0,5.0,1.0,1.5
2025-26,League phase,2025-10-22,Frankfurt,1,5,Liverpool,A,2.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,3.0,1.5,3.0,1.5,0.0,0.0,0.0,1.5,-1.5
2025-26,League phase,2025-10-22,Galatasaray,3,1,Bodø/Glimt,H,2.0,2.0,0.5,0.0,0.0,1.0,-3.0,0.0,1.0,2.0,2.5,2.0,0.5,-1.0,-3.0,-1.0,-0.5
2025-26,League phase,2025-10-22,Monaco,0,0,Tottenham,D,2.0,2.0,0.0,0.5,0.5,0.5,-3.0,1.0,1.5,1.5,3.0,1.0,-0.5,0.0,-4.0,0.0,-2.0
2025-26,League phase,2025-10-22,Real Madrid,1,0,Juventus,H,2.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,3.5,3.0,0.5,3.0,1.0,-1.0,6.0,0.5,2.5
2025-26,League phase,2025-10-22,Sporting CP,2,1,Marseille,H,2.0,2.0,0.5,0.5,0.0,0.0,2.0,3.0,2.5,2.5,1.5,1.0,0.0,0.0,-1.0,0.0,-0.5
2025-26,League phase,2025-11-04,Atlético Madrid,3,1,Union SG,H,3.0,3.0,0.3333333333333333,0.3333333333333333,0.0,0.0,-1.0,-6.0,2.3333333333333335,1.0,2.6666666666666665,3.0,0.0,0.0,5.0,1.3333333333333335,0.3333333333333335
